rd_task.env3.95.100.CTVA.1
env3 , CTVA , 1 , 4.6 , 1932
env4 , CTVA , 1 , 5.1 , 1828
env5 , CTVA , 1 , 3.7 , 2392
env6 , CTVA , 1 , 3.8 , 2304
env7 , CTVA , 1 , 2.5 , 2210
env8 , CTVA , 1 , 2.0 , 2112
env3 , NMR_5 , 1 , 8.3 , 5000
env4 , NMR_5 , 1 , 12. , 5000
env5 , NMR_5 , 1 , 7.9 , 5000
env6 , NMR_5 , 1 , 4.4 , 5000
env7 , NMR_5 , 1 , 1.3 , 5000
env8 , NMR_5 , 1 , 0.2 , 5000
env3 , GG_4 , 1 , 5.9 , 1829
env4 , GG_4 , 1 , 4.5 , 1829
env5 , GG_4 , 1 , 3.2 , 2345
env6 , GG_4 , 1 , 3.2 , 2266
env7 , GG_4 , 1 , 2.6 , 2227
env8 , GG_4 , 1 , 2.4 , 2151
env3 , CTVA , 2 , 6.4 , 4162
env4 , CTVA , 2 , 6.4 , 4323
env5 , CTVA , 2 , 3.3 , 5548
env6 , CTVA , 2 , 4.5 , 4837
env7 , CTVA , 2 , 2.7 , 4510
env8 , CTVA , 2 , 3.0 , 4329
env3 , NMR_5 , 2 , 8.9 , 10000
env4 , NMR_5 , 2 , 11. , 10000
env5 , NMR_5 , 2 , 9.5 , 10000
env6 , NMR_5 , 2 , 5.2 , 10000
env7 , NMR_5 , 2 , 1.5 , 10000
env8 , NMR_5 , 2 , 0.1 , 10000
env3 , GG_4 , 2 , 8.1 , 4097
env4 , GG_4 , 2 , 7.6 , 4080
env5 , GG_4 , 2 , 4.0 , 5389
env6 , GG_4 , 2 , 3.5 , 4873
env7 , GG_4 , 2 , 3.3 , 4511
env8 , GG_4 , 2 , 1.6 , 4372
env3 , CTVA , 3 , 6.9 , 6863
env4 , CTVA , 3 , 8.2 , 7010
env5 , CTVA , 3 , 4.7 , 9115
env6 , CTVA , 3 , 4.1 , 7334
env7 , CTVA , 3 , 2.9 , 6957
env8 , CTVA , 3 , 2.4 , 6422
env3 , NMR_5 , 3 , 8.7 , 14957
env4 , NMR_5 , 3 , 10. , 14962
env5 , NMR_5 , 3 , 7.2 , 15000
env6 , NMR_5 , 3 , 4.2 , 15000
env7 , NMR_5 , 3 , 1.3 , 15000
env8 , NMR_5 , 3 , 0.2 , 15000
env3 , GG_4 , 3 , 8.5 , 6796
env4 , GG_4 , 3 , 9.7 , 6875
env5 , GG_4 , 3 , 4.7 , 8965
env6 , GG_4 , 3 , 4.5 , 7392
env7 , GG_4 , 3 , 3.4 , 6938
env8 , GG_4 , 3 , 2.2 , 6484
env3 , CTVA , 4 , 7.5 , 9689
env4 , CTVA , 4 , 10. , 9746
env5 , CTVA , 4 , 4.9 , 12878
env6 , CTVA , 4 , 3.8 , 10074
env7 , CTVA , 4 , 3.0 , 9416
env8 , CTVA , 4 , 2.6 , 8636
env3 , NMR_5 , 4 , 9.2 , 19122
env4 , NMR_5 , 4 , 12. , 19075
env5 , NMR_5 , 4 , 7.3 , 20000
env6 , NMR_5 , 4 , 4.1 , 20000
env7 , NMR_5 , 4 , 1.6 , 20000
env8 , NMR_5 , 4 , 0.3 , 20000
env3 , GG_4 , 4 , 9.8 , 9431
env4 , GG_4 , 4 , 9.6 , 9732
env5 , GG_4 , 4 , 5.4 , 12857
env6 , GG_4 , 4 , 4.9 , 10047
env7 , GG_4 , 4 , 2.8 , 9537
env8 , GG_4 , 4 , 1.9 , 8760
env3 , CTVA , 5 , 9.7 , 12582
env4 , CTVA , 5 , 10. , 13088
env5 , CTVA , 5 , 5.6 , 17041
env6 , CTVA , 5 , 5.5 , 12662
env7 , CTVA , 5 , 2.9 , 11976
env8 , CTVA , 5 , 2.3 , 10690
env3 , NMR_5 , 5 , 12. , 20795
env4 , NMR_5 , 5 , 14. , 20649
env5 , NMR_5 , 5 , 9.2 , 23207
env6 , NMR_5 , 5 , 5.0 , 23857
env7 , NMR_5 , 5 , 1.9 , 24000
env8 , NMR_5 , 5 , 0.3 , 24000
env3 , GG_4 , 5 , 9.5 , 12571
env4 , GG_4 , 5 , 10. , 13213
env5 , GG_4 , 5 , 5.7 , 16973
env6 , GG_4 , 5 , 4.9 , 13032
env7 , GG_4 , 5 , 3.9 , 11869
env8 , GG_4 , 5 , 2.2 , 10842
env3 , CTVA , 6 , 10. , 15810
env4 , CTVA , 6 , 11. , 16591
env5 , CTVA , 6 , 8.3 , 20742
env6 , CTVA , 6 , 5.6 , 15706
env7 , CTVA , 6 , 3.5 , 14729
env8 , CTVA , 6 , 2.1 , 13009
env3 , NMR_5 , 6 , 15. , 20995
env4 , NMR_5 , 6 , 18. , 20963
env5 , NMR_5 , 6 , 11. , 23254
env6 , NMR_5 , 6 , 7.2 , 23861
env7 , NMR_5 , 6 , 3.1 , 24000
env8 , NMR_5 , 6 , 0.6 , 24000
env3 , GG_4 , 6 , 10. , 15714
env4 , GG_4 , 6 , 12. , 16809
env5 , GG_4 , 6 , 7.1 , 20855
env6 , GG_4 , 6 , 5.8 , 15938
env7 , GG_4 , 6 , 3.6 , 14815
env8 , GG_4 , 6 , 2.1 , 12897
env3 , CTVA , 7 , 11. , 18777
env4 , CTVA , 7 , 14. , 19795
env5 , CTVA , 7 , 12. , 22876
env6 , CTVA , 7 , 7.0 , 18865
env7 , CTVA , 7 , 4.0 , 17294
env8 , CTVA , 7 , 2.2 , 15053
env3 , NMR_5 , 7 , 17. , 21169
env4 , NMR_5 , 7 , 22. , 20994
env5 , NMR_5 , 7 , 14. , 23288
env6 , NMR_5 , 7 , 9.6 , 23880
env7 , NMR_5 , 7 , 5.0 , 24000
env8 , NMR_5 , 7 , 1.5 , 24000
env3 , GG_4 , 7 , 12. , 18739
env4 , GG_4 , 7 , 13. , 19644
env5 , GG_4 , 7 , 11. , 22916
env6 , GG_4 , 7 , 7.2 , 18826
env7 , GG_4 , 7 , 4.3 , 17558
env8 , GG_4 , 7 , 1.9 , 15135
env3 , CTVA , 8 , 13. , 20969
env4 , CTVA , 8 , 16. , 21617
env5 , CTVA , 8 , 18. , 23582
env6 , CTVA , 8 , 9.4 , 21122
env7 , CTVA , 8 , 5.3 , 19525
env8 , CTVA , 8 , 1.7 , 17367
env3 , NMR_5 , 8 , 20. , 21320
env4 , NMR_5 , 8 , 24. , 21110
env5 , NMR_5 , 8 , 16. , 23328
